name_cat,ra_cat,dec_cat,e_Pos,Class,SubClass,ref,sep,name,ra,dec,r0,PU,remove_code,_r_simbad,main_id,ra_simbad,dec_simbad,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z
CPD-24 6150,271.0305833,-24.3239444,,YSO,B5,1939AnBos...5E...1W,0.162577,2CXO J180407.3-241926,271.0306323,-24.3239377,0.74,0.74,2,0.120183,HD 315025,271.0305960395,-24.3239424702,0.0,0.0,90.0,23.0,18 04 07.34305,-24 19 26.1929,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,,,,,B8,,0.7656,0.0222,-0.032,-0.973,0.025,0.019,90,,,,11.001,10.756,10.84,9.835,9.566,9.452,,10.776,10.681,10.683,
LS 4602,271.0305833,-24.3239444,,YSO,OB-,1971PW&SO...1a...1S,0.162577,2CXO J180407.3-241926,271.0306323,-24.3239377,0.74,0.74,2,0.120183,HD 315025,271.0305960395,-24.3239424702,0.0,0.0,90.0,23.0,18 04 07.34305,-24 19 26.1929,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,,,,,B8,,0.7656,0.0222,-0.032,-0.973,0.025,0.019,90,,,,11.001,10.756,10.84,9.835,9.566,9.452,,10.776,10.681,10.683,
m104.20906.960,271.2796667,-27.7191944,,CV,UG,2005JAD....11....2D,0.532306,2CXO J180507.0-274309,271.2795012,-27.7191747,0.752,0.752,2,0.140147,OGLE BLG-DN-656,271.2794595036,-27.7191870725,0.0,0.0,90.0,10.0,18 05 07.07028,-27 43 09.0735,A,2018yCat.1345....0G,CataclyV*,*  |CV*|EB*|X,,,,,,,0.0885,0.2367,-0.405,-3.79,0.482,0.41,90,,,,,17.853,,,,,,,,,
DQ Her,271.876667,45.858889,1.0,CV,Na,2003A&A...404..301R,1.637175,2CXO J180730.2+455132,271.8760708,45.8590746,0.711,2.122621256842586,2,0.120975,V* DQ Her,271.8760459966,45.8590457755,0.0,0.0,90.0,988.0,18 07 30.25104,+45 51 32.5648,A,2020yCat.1350....0G,CataclyV*,*  |CV*|EB*|Em*|IR |No*|SB*|UV |V* |X,-4.0,5.0,-1.33e-05,1.67e-05,M3+Ve,,2.016,0.0169,-0.925,12.412,0.023,0.023,90,,,,14.605,14.443,14.8,13.6,13.281,13.085,,14.447,14.353,14.451,
SAX J1808.4-3658,272.115,-36.97886111,,LMXB,"T, P, B, R",2007A&A...469..807L,0.956294,2CXO J180827.6-365843,272.115179,-36.9786373,0.71,0.71,2,0.523348,1SXPS J180827.6-365843,272.115,-36.9786111111,,,172.0,1.0,18 08 27.6,-36 58 43,D,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS 4707,272.465125,-23.6142778,,HM-STAR,OB-,1971PW&SO...1a...1S,0.429167,2CXO J180951.6-233651,272.4652424,-23.6143292,0.735,0.735,2,0.471957,HD 314031,272.465118585,-23.6142634981,0.0,0.0,90.0,45.0,18 09 51.62846,-23 36 51.3486,A,2020yCat.1350....0G,Star,*  |IR |X,-7.0,,-2.33e-05,,B0.5V,,0.7993,0.0267,2.157,-1.012,0.029,0.021,90,,,,10.05,9.86,10.07,9.194,9.117,9.051,,,,,
HD 314031,272.465125,-23.6142778,,HM-STAR,B0.5V,1971AJ.....76..260C,0.429167,2CXO J180951.6-233651,272.4652424,-23.6143292,0.735,0.735,2,0.471957,HD 314031,272.465118585,-23.6142634981,0.0,0.0,90.0,45.0,18 09 51.62846,-23 36 51.3486,A,2020yCat.1350....0G,Star,*  |IR |X,-7.0,,-2.33e-05,,B0.5V,,0.7993,0.0267,2.157,-1.012,0.029,0.021,90,,,,10.05,9.86,10.07,9.194,9.117,9.051,,,,,
HD 314031,272.465125,-23.6142778,,LM-STAR,A2,1920ApJ....52....8S,0.429167,2CXO J180951.6-233651,272.4652424,-23.6143292,0.735,0.735,2,0.471957,HD 314031,272.465118585,-23.6142634981,0.0,0.0,90.0,45.0,18 09 51.62846,-23 36 51.3486,A,2020yCat.1350....0G,Star,*  |IR |X,-7.0,,-2.33e-05,,B0.5V,,0.7993,0.0267,2.157,-1.012,0.029,0.021,90,,,,10.05,9.86,10.07,9.194,9.117,9.051,,,,,
1813+6122,273.623333,61.393056,1.0,CV,NL,2003A&A...404..301R,1.450957,2CXO J181429.7+612335,273.6241373,61.393175,1.515,2.509028696527802,2,1.074177,HS 1813+6122,273.6242907698,61.392885807,0.0,0.0,90.0,10.0,18 14 29.82978,+61 23 34.3889,A,2020yCat.1350....0G,CataclyV*,*  |CV*|IR |blu,,,,,,,1.2152,0.0247,0.789,-14.293,0.03,0.028,90,,,,15.2,15.1,,14.835,14.712,14.645,,,,,
NGC 6611 161,274.629,-13.7189444,,HM-STAR,O7,1990A&AS...82..319T,0.234385,2CXO J181830.9-134308,274.6290497,-13.7189008,0.881,0.881,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 6611 161,274.629,-13.7189444,,YSO,O8.5V,1993AJ....106.1906H,0.234385,2CXO J181830.9-134308,274.6290497,-13.7189008,0.881,0.881,2,0.281297,2MASS J18183095-1343083,274.6289870685,-13.7189498255,0.0,0.0,90.0,31.0,18 18 30.95690,-13 43 08.2194,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,-6.0,,-2e-05,,O8.5V,,0.5455,0.0225,-0.067,-1.45,0.023,0.019,90,,,,12.456,11.215,11.01,8.156,7.732,7.453,,11.71,10.777,11.925,
Cl* NGC 6611 ESL 029,274.629,-13.7189444,,YSO,O8.5V,2005A&A...437..467E,0.234385,2CXO J181830.9-134308,274.6290497,-13.7189008,0.881,0.881,2,0.281297,2MASS J18183095-1343083,274.6289870685,-13.7189498255,0.0,0.0,90.0,31.0,18 18 30.95690,-13 43 08.2194,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,-6.0,,-2e-05,,O8.5V,,0.5455,0.0225,-0.067,-1.45,0.023,0.019,90,,,,12.456,11.215,11.01,8.156,7.732,7.453,,11.71,10.777,11.925,
NGC 6611 161,274.629,-13.7189444,,HM-STAR,O8IV,arXiv:2110.01464,0.234385,2CXO J181830.9-134308,274.6290497,-13.7189008,0.881,0.881,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 6611 231,274.66025,-13.7656111,,HM-STAR,B0,1990A&AS...82..319T,0.236175,2CXO J181838.4-134556,274.660312,-13.765585,0.723,0.723,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 6611 231,274.66025,-13.7656111,,YSO,B1V,1993AJ....106.1906H,0.236175,2CXO J181838.4-134556,274.660312,-13.765585,0.723,0.723,2,0.180542,2MASS J18183846-1345561,274.6602724822,-13.7656172777,0.0,0.0,90.0,28.0,18 18 38.46540,-13 45 56.2222,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,,,,,B1V,,0.5933,0.0229,0.125,-1.719,0.025,0.02,90,,,,12.34,11.78,,10.59,10.213,10.057,,12.941,12.378,11.963,
NGC 6611 259,274.6707083,-13.75825,,HM-STAR,B0.5V,arXiv:2110.01464,0.331241,2CXO J181840.9-134529,274.6706516,-13.7581763,0.818,0.818,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cl* NGC 6611 ESL 035,274.6707083,-13.75825,,YSO,B0.5V,2005A&A...437..467E,0.331241,2CXO J181840.9-134529,274.6706516,-13.7581763,0.818,0.818,2,0.246254,2MASS J18184096-1345296,274.6706884732,-13.7582345783,0.0,0.0,90.0,29.0,18 18 40.96523,-13 45 29.6445,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,16.0,,5.34e-05,,B0.5V,,0.453,0.0247,0.552,-1.277,0.024,0.021,90,,,,11.85,11.05,,9.614,9.315,9.193,,,,,
NGC 6611 259,274.6707083,-13.75825,,HM-STAR,B0.5V,1993AJ....106.1906H,0.331241,2CXO J181840.9-134529,274.6706516,-13.7581763,0.818,0.818,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 6611 259,274.6707083,-13.75825,,YSO,O8,1990A&AS...82..319T,0.331241,2CXO J181840.9-134529,274.6706516,-13.7581763,0.818,0.818,2,0.246254,2MASS J18184096-1345296,274.6706884732,-13.7582345783,0.0,0.0,90.0,29.0,18 18 40.96523,-13 45 29.6445,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,16.0,,5.34e-05,,B0.5V,,0.453,0.0247,0.552,-1.277,0.024,0.021,90,,,,11.85,11.05,,9.614,9.315,9.193,,,,,
Cl* NGC 6611 ESL 085,274.704875,-13.8011667,,HM-STAR,B5III,2005A&A...437..467E,0.308704,2CXO J181849.1-134803,274.7049342,-13.8011031,0.795,0.795,2,0.348552,NGC  6611   336,274.7048671251,-13.8011747318,0.0,0.0,90.0,24.0,18 18 49.16811,-13 48 04.2290,A,2020yCat.1350....0G,Em*,*  |Em*|IR |X  |Y*O,5.0,,1.67e-05,,B5III,,0.5312,0.0153,0.261,-1.764,0.015,0.012,90,,,,13.802,13.288,,11.804,11.612,11.455,,13.424,13.076,12.889,
NGC 6611 336,274.704875,-13.8011667,,HM-STAR,B5V,1999RMxAA..35...85B,0.308704,2CXO J181849.1-134803,274.7049342,-13.8011031,0.795,0.795,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 6611 400,274.732625,-13.7816944,,HM-STAR,B9V,1999RMxAA..35...85B,0.167214,2CXO J181855.8-134654,274.7326702,-13.7816793,0.759,0.759,2,0.112869,NGC  6611   400,274.7326381273,-13.7816828635,0.0,0.0,90.0,25.0,18 18 55.83315,-13 46 54.0583,A,2020yCat.1350....0G,Em*,*  |Em*|IR |X  |Y*O,-32.0,,-0.0001067,,B9III,,0.5509,0.0182,0.32,-1.828,0.017,0.013,90,,,,13.493,12.789,,11.001,10.689,10.394,,13.037,12.619,12.343,
Cl* NGC 6611 ESL 070,274.732625,-13.7816944,,HM-STAR,B9III,2005A&A...437..467E,0.167214,2CXO J181855.8-134654,274.7326702,-13.7816793,0.759,0.759,2,0.112869,NGC  6611   400,274.7326381273,-13.7816828635,0.0,0.0,90.0,25.0,18 18 55.83315,-13 46 54.0583,A,2020yCat.1350....0G,Em*,*  |Em*|IR |X  |Y*O,-32.0,,-0.0001067,,B9III,,0.5509,0.0182,0.32,-1.828,0.017,0.013,90,,,,13.493,12.789,,11.001,10.689,10.394,,13.037,12.619,12.343,
NGC 6611 400,274.732625,-13.7816944,,LM-STAR,A2,1961ApJ...133..438W,0.167214,2CXO J181855.8-134654,274.7326702,-13.7816793,0.759,0.759,2,0.112869,NGC  6611   400,274.7326381273,-13.7816828635,0.0,0.0,90.0,25.0,18 18 55.83315,-13 46 54.0583,A,2020yCat.1350....0G,Em*,*  |Em*|IR |X  |Y*O,-32.0,,-0.0001067,,B9III,,0.5509,0.0182,0.32,-1.828,0.017,0.013,90,,,,13.493,12.789,,11.001,10.689,10.394,,13.037,12.619,12.343,
LS 4960,275.365875,-15.9590833,,YSO,OB-,1971PW&SO...1a...1S,0.247947,2CXO J182127.8-155732,275.365836,-15.9590255,0.924,0.924,2,0.297559,2MASS J18212781-1557326,275.3658961422,-15.9590845616,0.0,0.0,90.0,19.0,18 21 27.81507,-15 57 32.7044,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,,,,,OB,,0.8431,0.1279,0.871,-0.594,0.139,0.108,90,,,,10.3,9.75,9.93,8.168,7.989,7.884,,,,9.21,
BD-16 4834,275.365875,-15.9590833,,YSO,B8,1958IzKry..20..208P,0.247947,2CXO J182127.8-155732,275.365836,-15.9590255,0.924,0.924,2,0.297559,2MASS J18212781-1557326,275.3658961422,-15.9590845616,0.0,0.0,90.0,19.0,18 21 27.81507,-15 57 32.7044,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,,,,,OB,,0.8431,0.1279,0.871,-0.594,0.139,0.108,90,,,,10.3,9.75,9.93,8.168,7.989,7.884,,,,9.21,
BD-16 4834,275.365875,-15.9590833,,HM-STAR,OB,1954BOTT....1i..41I,0.247947,2CXO J182127.8-155732,275.365836,-15.9590255,0.924,0.924,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-16 4834,275.365875,-15.9590833,,HM-STAR,OB,1961AJ.....66..186S,0.247947,2CXO J182127.8-155732,275.365836,-15.9590255,0.924,0.924,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1824-2452,276.135417,-24.868889,1.0,LMXB,XT,2003A&A...404..301R,0.153709,2CXO J182432.4-245208,276.135398,-24.8689281,0.71,2.122286502807762,2,0.346565,IGR J18245-2452,276.1354166667,-24.8688333333,,,172.0,202.0,18 24 32.50,-24 52 07.8,C,2013ApJ...773..122P,LMXB,LXB|Psr|Rad|X  |gam,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1824-2452I,276.13554166666665,-24.869055555555555,0.6,NS_BIN,HE,2005AJ....129.1993M,0.656291,2CXO J182432.4-245208,276.135398,-24.8689281,0.71,1.704142012861604,2,0.346565,IGR J18245-2452,276.1354166667,-24.8688333333,,,172.0,202.0,18 24 32.50,-24 52 07.8,C,2013ApJ...773..122P,LMXB,LXB|Psr|Rad|X  |gam,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1824-2452B,276.13670833333333,-24.869777777777777,0.0,NS,,2005AJ....129.1993M,2.663143,2CXO J182432.8-245208,276.1367179,-24.8690381,0.71,0.71,2,0.301411,[BSP2003] 26,276.1367541667,-24.8689611111,,,172.0,11.0,18 24 32.821,-24 52 08.26,D,2003ApJ...594..798B,LMXB,LXB|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1824-2452F,276.13670833333333,-24.869777777777777,0.0,NS,,2005AJ....129.1993M,2.663143,2CXO J182432.8-245208,276.1367179,-24.8690381,0.71,0.71,2,0.301411,[BSP2003] 26,276.1367541667,-24.8689611111,,,172.0,11.0,18 24 32.821,-24 52 08.26,D,2003ApJ...594..798B,LMXB,LXB|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1824-2452E,276.13670833333333,-24.869777777777777,0.0,NS,,2005AJ....129.1993M,2.663143,2CXO J182432.8-245208,276.1367179,-24.8690381,0.71,0.71,2,0.301411,[BSP2003] 26,276.1367541667,-24.8689611111,,,172.0,11.0,18 24 32.821,-24 52 08.26,D,2003ApJ...594..798B,LMXB,LXB|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1824-2452L,276.13670833333333,-24.869777777777777,0.0,NS_BIN,,2005AJ....129.1993M,2.663143,2CXO J182432.8-245208,276.1367179,-24.8690381,0.71,0.71,2,0.301411,[BSP2003] 26,276.1367541667,-24.8689611111,,,172.0,11.0,18 24 32.821,-24 52 08.26,D,2003ApJ...594..798B,LMXB,LXB|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1824-2452C,276.13670833333333,-24.869777777777777,0.0,NS_BIN,,2005AJ....129.1993M,2.663143,2CXO J182432.8-245208,276.1367179,-24.8690381,0.71,0.71,2,0.301411,[BSP2003] 26,276.1367541667,-24.8689611111,,,172.0,11.0,18 24 32.821,-24 52 08.26,D,2003ApJ...594..798B,LMXB,LXB|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1824-2452K,276.13670833333333,-24.869777777777777,0.0,NS_BIN,,2005AJ....129.1993M,2.663143,2CXO J182432.8-245208,276.1367179,-24.8690381,0.71,0.71,2,0.301411,[BSP2003] 26,276.1367541667,-24.8689611111,,,172.0,11.0,18 24 32.821,-24 52 08.26,D,2003ApJ...594..798B,LMXB,LXB|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1824-2452H,276.13670833333333,-24.869777777777777,0.0,NS_BIN,,2005AJ....129.1993M,2.663143,2CXO J182432.8-245208,276.1367179,-24.8690381,0.71,0.71,2,0.301411,[BSP2003] 26,276.1367541667,-24.8689611111,,,172.0,11.0,18 24 32.821,-24 52 08.26,D,2003ApJ...594..798B,LMXB,LXB|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1824-2452G,276.13670833333333,-24.869777777777777,0.0,NS_BIN,,2005AJ....129.1993M,2.663143,2CXO J182432.8-245208,276.1367179,-24.8690381,0.71,0.71,2,0.301411,[BSP2003] 26,276.1367541667,-24.8689611111,,,172.0,11.0,18 24 32.821,-24 52 08.26,D,2003ApJ...594..798B,LMXB,LXB|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1824-2452D,276.13670833333333,-24.869777777777777,0.0,NS_BIN,,2005AJ....129.1993M,2.663143,2CXO J182432.8-245208,276.1367179,-24.8690381,0.71,0.71,2,0.301411,[BSP2003] 26,276.1367541667,-24.8689611111,,,172.0,11.0,18 24 32.821,-24 52 08.26,D,2003ApJ...594..798B,LMXB,LXB|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1824-2452J,276.13670833333333,-24.869777777777777,0.0,NS_BIN,,2005AJ....129.1993M,2.663143,2CXO J182432.8-245208,276.1367179,-24.8690381,0.71,0.71,2,0.301411,[BSP2003] 26,276.1367541667,-24.8689611111,,,172.0,11.0,18 24 32.821,-24 52 08.26,D,2003ApJ...594..798B,LMXB,LXB|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGR J18308-1232,277.7078333,-12.53852778,,CV,CV (IP?),INTEGRAL General Reference Catalog,1.042665,2CXO J183049.9-123219,277.7081073,-12.5386388,0.711,0.711,2,1.353888,IGR J18308-1232,277.708,-12.539,179.4,179.4,90.0,15.0,18 30 50,-12 32.3,E,2016ApJS..223...15B,CataclyV*,*  |CV*|gam,,,,,,,,,,,,,,,,,17.3,17.9,16.6,,,,,,,,
NGC 6656 CV1,279.10275,-23.9098611,,CV,UG,2005JAD....11....2D,0.827898,2CXO J183624.7-235435,279.1030016,-23.9098601,0.716,0.716,2,0.350066,OGLE BLG-DN-1057,279.1029,-23.9098888889,0.1,0.1,90.0,24.0,18 36 24.696,-23 54 35.60,C,2016A&A...588A.128F,CataclyV*,*  |CV*|X,,,,,,,,,,,,,,,,,,18.77,,,,,,,,,
[NB54] 269,281.6334167,-2.9568056,,LM-STAR,M5,1954ApJ...120..118N,0.077524,2CXO J184632.0-025724,281.6333951,-2.9568058,0.778,0.778,2,0.102197,V* V1549 Aql,281.6334228514,-2.956811947,0.0,0.0,90.0,4.0,18 46 32.02148,-02 57 24.5230,A,2020yCat.1350....0G,LPV*,*  |IR |LP*|V*,,,,,M7,,0.8212,0.0803,3.961,-1.969,0.088,0.071,90,,,,,13.2,,4.424,3.033,2.518,,,,,
[A64] Red -02 55,281.6334167,-2.9568056,,LM-STAR,M5,1964AbaOB..31...27A,0.077524,2CXO J184632.0-025724,281.6333951,-2.9568058,0.778,0.778,2,0.102197,V* V1549 Aql,281.6334228514,-2.956811947,0.0,0.0,90.0,4.0,18 46 32.02148,-02 57 24.5230,A,2020yCat.1350....0G,LPV*,*  |IR |LP*|V*,,,,,M7,,0.8212,0.0803,3.961,-1.969,0.088,0.071,90,,,,,13.2,,4.424,3.033,2.518,,,,,
CI Aql,283.015,-1.4775,1.0,CV,Nr,2003A&A...404..301R,0.593405,2CXO J185203.5-012839,283.0148418,-1.4775465,0.721,2.1259917685635568,2,0.046441,UCAC4 443-085347,283.0148530237,-1.4775528662,0.0,0.0,90.0,151.0,18 52 03.56473,-01 28 39.1903,A,2020yCat.1350....0G,CataclyV*,*  |CV*|EB*|IR |V*,42.0,3.0,0.0001401,1e-05,,,0.3798,0.0365,-1.1,-4.752,0.041,0.038,90,,,,,,13.373,13.668,13.329,,,,,,
V406 Vul,284.67375,22.658333,1.0,LMXB,XT,2003A&A...404..301R,2.925808,2CXO J185841.4+223929,284.6728696,22.6583106,0.849,2.1727404354869453,2,1.365849,V* V406 Vul,284.67325,22.6581666667,0.5,0.5,90.0,342.0,18 58 41.580,+22 39 29.40,C,2003A&A...411L..59E,HMXB,BH?|HXB|LXB|V* |X  |ev |gam,,,,,G5V-K0V,,,,,,,,,,,,15.65,15.31,,,,,,,,,
V4743 Sgr,285.28875,-22.001667,1.0,CV,Na,2003A&A...404..301R,0.816833,2CXO J190109.3-220005,285.2889928,-22.0016385,0.762,2.1402439113334726,2,0.287834,USNO-A2.0 0675-31094614,285.2889141212,-22.0016712272,0.0,0.0,90.0,1.0,19 01 09.33939,-22 00 06.0164,A,2020yCat.1350....0G,Star,*,,,,,,,0.2052,0.0698,-0.51,-6.26,0.075,0.063,90,,,,17.0,,,,,,,,,,
2CXO J190129.0-370148,285.37091389,-37.030125,,LM-STAR,Md_b,2020AJ....160..120J,0.230847,2CXO J190129.0-370148,285.3709257,-37.0301884,0.719,0.719,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J19012901-3701484,285.37091389,-37.030125,,YSO,Md_a,2020AJ....160..120J,0.230847,2CXO J190129.0-370148,285.3709257,-37.0301884,0.719,0.719,2,0.208556,2MASS J19012901-3701484,285.3709703637,-37.0301427405,0.0,0.0,90.0,17.0,19 01 29.03289,-37 01 48.5139,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*?|Y*O,,,,,M3.75,,6.5048,0.058,4.191,-28.847,0.062,0.053,90,,,,,,,11.637,10.956,10.663,,,,,
NGC 6752-CX1,287.7133333,-59.9868889,,CV,CV,2005JAD....11....2D,0.910292,2CXO J191051.1-595911,287.7131499,-59.9866533,0.711,0.711,2,0.138591,Cl* NGC 6752    SAW V27,287.713075,-59.9866444444,0.02,0.02,90.0,13.0,19 10 51.138,-59 59 11.92,C,2017ApJ...841...53L,CataclyV*,*  |CV*|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 6752-CX11,287.7183333,-59.985,,CV,CV:,2005JAD....11....2D,0.339494,2CXO J191052.4-595905,287.7183934,-59.9849106,0.732,0.732,2,0.199661,PSR J1910-5959D,287.71840125,-59.9848552778,,,172.0,15.0,19 10 52.4163,-59 59 05.479,D,2006ApJ...653.1417C,Pulsar,Psr,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1910-5959D,287.71840125,-59.984855277777775,0.0075,NS,,2005AJ....129.1993M,0.199719,2CXO J191052.4-595905,287.7183934,-59.9849106,0.732,0.7522127358666563,2,0.199661,PSR J1910-5959D,287.71840125,-59.9848552778,,,172.0,15.0,19 10 52.4163,-59 59 05.479,D,2006ApJ...653.1417C,Pulsar,Psr,,,,,,,,,,,,,,,,,,,,,,,,,,,
V1333 Aql,287.81625,0.585,1.0,LMXB,XT,2003A&A...404..301R,1.869738,2CXO J191116.0+003505,287.8167689,0.5849783,0.71,2.122286502807762,2,0.400915,[CIL99] Star e,287.816875,0.5849444444,,,172.0,2.0,19 11 16.05,+00 35 05.8,C,2009yCat....1.2023S,Star,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 6791 B8,290.148625,37.7478611,,CV,UGSS,2005JAD....11....2D,0.876303,2CXO J192035.7+374452,290.1489213,37.747795,0.746,0.746,2,0.020255,V* V516 Lyr,290.148924392,37.7477899324,0.001,0.006,90.0,33.0,19 20 35.74185,+37 44 52.0438,C,2018yCat.1345....0G,CataclyV*,*  |CV*|HB?|V*,,,,,,,,,,,,,,,,,21.07,,,,,,,,,,
NGC 6791 B7,290.281375,37.7991111,,CV,VY/UGZ,2005JAD....11....2D,1.552118,2CXO J192107.4+374756,290.2808489,37.7989969,1.025,1.025,2,0.142652,V* V523 Lyr,290.2808416667,37.7990361111,,,172.0,31.0,19 21 07.402,+37 47 56.53,D,2002AJ....123.3460M,Nova,*  |CV*|HB?|No*|V*,,,,,,,,,,,,,,,,,18.4,17.581,17.448,,,,,,,,
V* V1494 Aql,290.7722083,4.9552778,,CV,N,2005JAD....11....2D,1.072528,2CXO J192305.3+045719,290.7723943,4.9555111,0.713,0.713,2,1.384634,V* V1494 Aql,290.772077,4.955292,0.07,0.06,0.0,149.0,19 23 05.29848,+04 57 19.0512,C,2003yCat.2246....0C,Nova,EB*|IR |No*|V*,,,,,,,,,,,,,,,,,,,,14.848,14.369,14.13,,,,,
BD+49 2997,291.0614167,50.2554167,,LM-STAR,A2,1952CoRut..32....1H,0.095642,2CXO J192414.7+501519,291.0613766,50.2554097,0.718,0.718,2,0.081611,V* V2365 Cyg,291.0614074739,50.2554208473,0.0,0.0,90.0,31.0,19 24 14.73779,+50 15 19.5151,A,2020yCat.1350....0G,EB*,*  |EB*|IR |V*,,,,,A5,,3.4609,0.0214,7.111,-18.844,0.026,0.029,90,,,,9.6,9.31,,8.834,8.732,8.683,,,,,
IGR J19267+1325,291.6125,13.36788889,,CV,CV (IP),INTEGRAL General Reference Catalog,0.725442,2CXO J192626.9+132205,291.6124334,13.3680797,0.721,0.721,2,0.18109,IGR J19267+1325,291.6124765918,13.3680520495,0.0,0.0,90.0,19.0,19 26 26.99438,+13 22 04.9874,A,2020yCat.1350....0G,CataclyV*,*  |CV*|gam,,,,,,,1.0305,0.1346,-0.854,-5.637,0.15,0.14,90,,,,18.5,18.0,17.8,,,,,,,,
J1930+0530,292.711667,5.516111,1.0,CV,CV,2003A&A...404..301R,0.569037,2CXO J193050.7+053058,292.7115082,5.5161132,0.792,2.151107621668428,2,0.262402,TYC  486-295-1,292.711494714,5.5161848427,0.0,0.0,90.0,7.0,19 30 50.75873,+05 30 58.2654,A,2020yCat.1350....0G,Star,*  |IR,,,,,F8,,3.0127,0.0265,-2.809,-10.474,0.026,0.02,90,,,,11.54,10.83,,9.617,9.245,9.13,,,,,
LF 1 +05 109,292.7116667,5.5161111,,LM-STAR,F8,1949ApJ...109..426M,0.567958,2CXO J193050.7+053058,292.7115082,5.5161132,0.792,0.792,2,0.262402,TYC  486-295-1,292.711494714,5.5161848427,0.0,0.0,90.0,7.0,19 30 50.75873,+05 30 58.2654,A,2020yCat.1350....0G,Star,*  |IR,,,,,F8,,3.0127,0.0265,-2.809,-10.474,0.026,0.02,90,,,,11.54,10.83,,9.617,9.245,9.13,,,,,
EM Cyg,294.667083,30.507778,1.0,CV,DN,2003A&A...404..301R,0.228591,2CXO J193840.1+303028,294.6670847,30.5078415,0.711,2.122621256842586,2,0.133625,V* EM Cyg,294.6671120712,30.5078701642,0.0,0.0,90.0,247.0,19 38 40.10690,+30 30 28.3326,A,2020yCat.1350....0G,CataclyV*,*  |CV*|IR |SB*|UV |V* |X,-31.0,,-0.0001034,,,,2.8263,0.1942,-2.374,-3.694,0.174,0.241,90,,,,,11.9,,11.735,11.333,11.15,,,,,
Var. Star near M27,299.9637083,22.7089722,,CV,UGWZ,2005JAD....11....2D,1.683176,2CXO J195951.3+224230,299.9639189,22.7085469,2.149,2.149,2,1.576892,V* V498 Vul,299.9636791667,22.708925,,,172.0,12.0,19 59 51.283,+22 42 32.13,D,2005IAUC.8591....2R,CataclyV*,V*,,,,,,,,,,,,,,,,,,,,,,,,,,,
S 3847,301.2717083,32.3558611,,CV,UGSU,2005JAD....11....2D,0.169748,2CXO J200505.2+322120,301.2716852,32.3558182,0.712,0.712,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
